Type,Slice,X,Y,Value,C-posZ-pos,Z-pos,T-pos,X (pixel),Y (pixel),Z (pixel)
1,1,5132,2342,0,1,1,1,0.116,0.053,0
1,1,4940,2316,122,1,1,1,0.112,0.053,0
1,1,4604,2372,63,1,1,1,0.105,0.054,0
1,1,2296,1290,88,1,1,1,0.052,0.029,0
1,1,2646,1718,88,1,1,1,0.06,0.039,0
1,1,2658,1992,106,1,1,1,0.06,0.045,0
1,1,2970,1980,0,1,1,1,0.067,0.045,0
1,1,3404,1672,96.333336,1,1,1,0.077,0.038,0
1,1,3420,1420,45.666668,1,1,1,0.078,0.032,0
1,1,3692,1560,82.333336,1,1,1,0.084,0.035,0
1,1,876,1484,100,1,1,1,0.02,0.034,0
1,1,928,2266,0,1,1,1,0.021,0.051,0
1,1,1386,2324,136,1,1,1,0.031,0.053,0
1,1,1560,2088,122.666664,1,1,1,0.035,0.047,0
1,1,2024,1256,76.666664,1,1,1,0.046,0.029,0
1,1,214,1722,116.666664,1,1,1,0.005,0.039,0
1,1,200,2454,125.666664,1,1,1,0.005,0.056,0
1,1,432,2352,0,1,1,1,0.01,0.053,0
1,1,1238,2576,118.333336,1,1,1,0.028,0.058,0
1,1,2102,3456,40,1,1,1,0.048,0.078,0
1,1,2310,3242,84.666664,1,1,1,0.052,0.074,0
1,1,3142,3328,43.333332,1,1,1,0.071,0.076,0
1,1,3892,2604,41,1,1,1,0.088,0.059,0
1,1,4728,2800,58.333332,1,1,1,0.107,0.064,0
1,1,4844,2724,27.666666,1,1,1,0.11,0.062,0
1,1,5044,2748,84.333336,1,1,1,0.115,0.062,0
1,1,4842,3082,47.333332,1,1,1,0.11,0.07,0
1,1,6280,3034,61,1,1,1,0.143,0.069,0
1,1,6108,3748,65.666664,1,1,1,0.139,0.085,0
1,1,7178,3692,101.333336,1,1,1,0.163,0.084,0
1,1,7496,3428,89,1,1,1,0.17,0.078,0
1,1,7954,3304,0,1,1,1,0.181,0.075,0
1,1,8290,2524,77,1,1,1,0.188,0.057,0
1,1,9060,2630,120,1,1,1,0.206,0.06,0
1,1,10022,3366,78.333336,1,1,1,0.228,0.076,0
1,1,9722,3540,109.666664,1,1,1,0.221,0.08,0
1,1,10020,2808,78,1,1,1,0.227,0.064,0
1,1,10710,2580,45.333332,1,1,1,0.243,0.059,0
1,1,11094,2568,51.333332,1,1,1,0.252,0.058,0
1,1,11966,3500,54.666668,1,1,1,0.272,0.079,0
1,1,12404,3310,76.333336,1,1,1,0.282,0.075,0
1,1,13072,3164,34.333332,1,1,1,0.297,0.072,0
1,1,13272,2952,51,1,1,1,0.301,0.067,0
1,1,13072,2376,96.333336,1,1,1,0.297,0.054,0
1,1,13758,2410,0,1,1,1,0.312,0.055,0
1,1,13136,4248,52.333332,1,1,1,0.298,0.096,0
1,1,12220,4190,0,1,1,1,0.277,0.095,0
1,1,10344,4450,89.666664,1,1,1,0.235,0.101,0
1,1,10576,4414,54.333332,1,1,1,0.24,0.1,0
1,1,10606,4604,0,1,1,1,0.241,0.105,0
1,1,11804,4086,67,1,1,1,0.268,0.093,0
1,1,8312,3930,37.333332,1,1,1,0.189,0.089,0
1,1,8268,4244,26,1,1,1,0.188,0.096,0
1,1,9512,4122,63,1,1,1,0.216,0.094,0
1,1,9508,4346,52,1,1,1,0.216,0.099,0
1,1,9856,4598,50.333332,1,1,1,0.224,0.104,0
1,1,9674,3872,95.666664,1,1,1,0.22,0.088,0
1,1,8708,4766,63.666668,1,1,1,0.198,0.108,0
1,1,6614,4766,70.333336,1,1,1,0.15,0.108,0
1,1,6798,4162,82,1,1,1,0.154,0.094,0
1,1,7044,3902,63.333332,1,1,1,0.16,0.089,0
1,1,7292,4228,66,1,1,1,0.166,0.096,0
1,1,7502,4246,76.666664,1,1,1,0.17,0.096,0
1,1,7580,4110,62.666668,1,1,1,0.172,0.093,0
1,1,7902,4282,125.666664,1,1,1,0.179,0.097,0
1,1,7948,3702,32.666668,1,1,1,0.18,0.084,0
1,1,4512,4142,36,1,1,1,0.102,0.094,0
1,1,4522,4624,64,1,1,1,0.103,0.105,0
1,1,4966,4312,31,1,1,1,0.113,0.098,0
1,1,5326,4472,76.666664,1,1,1,0.121,0.102,0
1,1,5302,4212,103.333336,1,1,1,0.12,0.096,0
1,1,5672,4218,139.666672,1,1,1,0.129,0.096,0
1,1,5574,4536,93,1,1,1,0.127,0.103,0
1,1,5878,4472,40.666668,1,1,1,0.133,0.102,0
1,1,742,4678,96.333336,1,1,1,0.017,0.106,0
1,1,1414,4484,89.666664,1,1,1,0.032,0.102,0
1,1,618,5062,51,1,1,1,0.014,0.115,0
1,1,446,5646,107.666664,1,1,1,0.01,0.128,0
1,1,782,5810,98.333336,1,1,1,0.018,0.132,0
1,1,1828,5040,89,1,1,1,0.041,0.114,0
1,1,1804,5428,0,1,1,1,0.041,0.123,0
1,1,2060,5218,62,1,1,1,0.047,0.118,0
1,1,2070,4934,57,1,1,1,0.047,0.112,0
1,1,2464,5184,111.333336,1,1,1,0.056,0.118,0
1,1,3378,5050,68.333336,1,1,1,0.077,0.115,0
1,1,3610,5020,45,1,1,1,0.082,0.114,0
1,1,3620,5212,39,1,1,1,0.082,0.118,0
