Type,X,Y
14,2736.833537,296.9511122
14,97.27795715,575.8441444
14,1522.065267,610.1561069
14,2834.930721,810.3000792
14,2947.746778,1145.054511
14,2586.825806,1165.651992
14,3026.827306,1199.268266
14,37.28421946,1238.360294
14,553.5293244,1416.350408
14,133.3254526,1580.132268
14,2753.266762,1707.204708
14,1344.572207,1730.738117
14,2429.078926,1941.524847
14,2839.585134,2168.772245
14,1903.25614,2206.421053
14,2086.162176,2336.876943
15,1143.829167,469.7090278
15,1095.959104,1597.958037
15,2853.261044,1772.998929
15,2069.383572,2004.604748
15,1577.499571,2034.188841
15,968.1634803,2045.625829
15,1153.45979,2127.203183
15,86.1574886,2185.138197
16,1120.548423,183.2116654
16,282.0737129,265.8112324
16,1954.29044,442.1057797
16,2719.282122,504.4797989
16,2357.340015,815.8968659
16,2179.005856,971.7402687
16,2541.215349,917.7304315
16,1606.867737,965.579001
16,1935.831397,967.6298273
16,1703.772647,1421.517584
16,3183.250878,1760.741476
16,1126.80044,1740.139712
16,2674.91403,2198.132501
16,3279.18763,2297.679802
16,1422.829587,2239.965917
16,2298.409414,2236.716898
16,313.1642088,2415.473495
